City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Macomer,40.262,8.7699,53.65,overcast clouds,83,100,0.81,IT
1,Khatanga,71.9667,102.5,-4.63,overcast clouds,99,100,6.26,RU
2,Codrington,-38.2667,141.9667,70.47,light rain,85,97,11.59,AU
3,Rikitea,-23.1203,-134.9692,71.58,moderate rain,90,100,11.03,PF
4,Oranjemund,-28.55,16.4333,58.59,clear sky,87,10,10.31,NA
5,New Norfolk,-42.7826,147.0587,82.92,broken clouds,34,64,11.01,AU
6,Port Alfred,-33.5906,26.891,59.18,overcast clouds,97,100,12.06,ZA
7,Saint-Pierre,-21.3393,55.4781,81.57,clear sky,65,0,13.8,RE
8,Changji,44.0167,87.3167,41.79,clear sky,75,0,2.24,CN
9,Vaini,-21.2,-175.2,78.96,broken clouds,89,75,6.91,TO
10,Georgetown,5.4112,100.3354,89.53,few clouds,71,20,8.05,MY
11,Punta Arenas,-53.15,-70.9167,37.51,clear sky,70,0,6.91,CL
12,Aklavik,68.2191,-135.0107,17.35,overcast clouds,83,100,18.34,CA
13,Ulladulla,-35.35,150.4667,69.22,clear sky,60,4,17.11,AU
14,Faanui,-16.4833,-151.75,79.18,light rain,78,99,14.74,PF
15,Paamiut,61.994,-49.6678,18.79,overcast clouds,74,100,6.38,GL
16,Mataura,-46.1927,168.8643,58.48,clear sky,41,0,5.66,NZ
17,Bredasdorp,-34.5322,20.0403,61.03,scattered clouds,61,26,12.57,ZA
18,Gisborne,-38.6533,178.0042,57.04,overcast clouds,89,100,17.13,NZ
19,Albany,42.6001,-73.9662,43.59,clear sky,61,0,2.48,US
20,Hilo,19.7297,-155.09,73.26,broken clouds,88,75,4.61,US
21,San Cristobal,7.7669,-72.225,64.58,overcast clouds,98,100,2.1,VE
22,Puerto Ayora,-0.7393,-90.3518,67.55,scattered clouds,91,33,3.0,EC
23,Flin Flon,54.7682,-101.865,0.54,scattered clouds,98,42,2.93,CA
24,Egvekinot,66.3167,-179.1667,12.16,overcast clouds,93,100,4.85,RU
25,Avarua,-21.2078,-159.775,73.45,scattered clouds,83,40,12.66,CK
26,Orel-Izumrud,43.4583,39.9244,53.62,overcast clouds,87,100,2.24,RU
27,Barrow,71.2906,-156.7887,19.42,clear sky,86,0,11.5,US
28,Dikson,73.5069,80.5464,-2.81,broken clouds,98,55,13.13,RU
29,Iqaluit,63.7506,-68.5145,10.13,light snow,72,100,17.27,CA
30,Padang,-0.9492,100.3543,84.25,overcast clouds,80,100,1.83,ID
31,Duiwelskloof,-23.6934,30.14,69.33,scattered clouds,82,32,8.41,ZA
32,Hithadhoo,-0.6,73.0833,81.95,overcast clouds,72,88,12.97,MV
33,Umm Kaddadah,13.6017,26.6876,68.05,clear sky,28,0,11.56,SD
34,Clyde River,70.4692,-68.5914,-1.97,scattered clouds,78,40,10.36,CA
35,Kingman,35.1894,-114.053,44.26,clear sky,64,0,4.0,US
36,Bluff,-46.6,168.3333,58.8,clear sky,66,0,16.15,NZ
37,Cabedelo,-6.9811,-34.8339,75.87,scattered clouds,81,48,9.48,BR
38,Port Lincoln,-34.7333,135.8667,64.29,overcast clouds,69,100,14.56,AU
39,Markova,48.6758,24.4138,44.76,broken clouds,67,71,5.39,UA
40,Xining,36.6167,101.7667,52.02,few clouds,38,23,2.68,CN
41,East London,-33.0153,27.9116,63.68,light rain,80,100,5.26,ZA
42,Taoudenni,22.6783,-3.9836,70.88,clear sky,12,0,10.02,ML
43,Bend,44.0582,-121.3153,28.87,clear sky,90,7,1.99,US
44,Esperance,-33.8667,121.9,80.44,overcast clouds,52,93,2.93,AU
45,Kutum,14.2,24.6667,63.03,clear sky,30,3,4.32,SD
46,Port Macquarie,-31.4333,152.9167,72.9,clear sky,51,0,9.35,AU
47,Wajima,37.4,136.9,65.08,scattered clouds,67,40,11.5,JP
48,Mogocha,53.7333,119.7667,24.73,clear sky,50,3,2.68,RU
49,Fort Nelson,58.8053,-122.7002,-0.06,clear sky,90,0,0.0,CA
50,Chokurdakh,70.6333,147.9167,-10.14,overcast clouds,99,100,8.37,RU
51,Nikolskoye,59.7035,30.7861,49.91,overcast clouds,93,100,8.28,RU
52,Perumpavur,10.1333,76.4833,87.71,haze,66,20,3.44,IN
53,Klaksvik,62.2266,-6.589,49.12,moderate rain,98,98,30.74,FO
54,Rincon,32.296,-81.2354,66.16,overcast clouds,63,100,16.11,US
55,Seymchan,62.8833,152.4333,-17.23,broken clouds,100,57,0.92,RU
56,Moerai,-22.4333,-151.3333,71.15,overcast clouds,73,94,17.94,PF
57,Murray Bridge,-35.1167,139.2667,74.12,scattered clouds,42,41,13.35,AU
58,Adamas,36.7333,24.4333,63.46,clear sky,72,0,15.75,GR
59,Souillac,-20.5167,57.5167,77.38,few clouds,65,20,6.91,MU
60,Jamestown,42.097,-79.2353,53.19,clear sky,31,0,11.5,US
61,Buraydah,26.326,43.975,64.85,overcast clouds,37,98,3.6,SA
62,Busselton,-33.65,115.3333,61.02,overcast clouds,84,94,15.08,AU
63,Ulagan,50.6321,87.9563,18.16,broken clouds,70,52,0.81,RU
64,Batagay-Alyta,67.8006,130.4114,-13.81,overcast clouds,89,85,1.9,RU
65,Saint-Paul,-21.0096,55.2707,82.0,broken clouds,87,63,3.71,RE
66,Nanortalik,60.1432,-45.2371,29.77,light snow,91,100,10.74,GL
67,Guerrero Negro,27.9769,-114.0611,64.47,overcast clouds,69,100,17.13,MX
68,Cairns,-16.9167,145.7667,88.07,broken clouds,45,75,16.11,AU
69,Tiznit,29.5833,-9.5,59.74,clear sky,43,0,1.1,MA
70,Kapaa,22.0752,-159.319,80.58,scattered clouds,81,40,13.8,US
71,Qaanaaq,77.484,-69.3632,-7.04,overcast clouds,64,95,6.46,GL
72,Kavieng,-2.5744,150.7967,84.29,light rain,69,67,4.74,PG
73,Vardo,70.3705,31.1107,37.38,overcast clouds,87,100,13.8,NO
74,Cajati,-24.7361,-48.1228,62.56,broken clouds,92,78,2.13,BR
75,Lisakovsk,52.5369,62.4936,28.54,broken clouds,91,61,15.57,KZ
76,Chernushka,56.5072,56.0766,33.89,light snow,100,100,8.66,RU
77,Dunedin,-45.8742,170.5036,57.79,clear sky,57,1,4.0,NZ
78,Lavrentiya,65.5833,-171.0,21.58,overcast clouds,75,100,3.29,RU
79,Ternate,0.8,127.4,84.79,broken clouds,69,68,6.73,ID
80,Hasaki,35.7333,140.8333,73.29,scattered clouds,48,35,17.11,JP
81,San Jose,37.3394,-121.895,51.24,scattered clouds,81,40,1.99,US
82,Vila Franca Do Campo,37.7167,-25.4333,70.2,light rain,93,92,21.61,PT
83,Butaritari,3.0707,172.7902,82.29,overcast clouds,72,97,17.85,KI
84,Ruteng,-8.6136,120.4721,72.7,broken clouds,76,64,2.01,ID
85,Chirongui,-12.9319,45.1483,80.53,broken clouds,73,74,12.93,YT
86,Malangwa,26.8568,85.5581,80.29,clear sky,53,0,4.12,NP
87,Thompson,55.7435,-97.8558,5.16,broken clouds,85,75,5.75,CA
88,Ushuaia,-54.8,-68.3,40.66,clear sky,65,0,14.97,AR
89,Hobart,-42.8794,147.3294,83.26,broken clouds,47,75,17.27,AU
90,Ponta Do Sol,32.6667,-17.1,67.71,scattered clouds,81,34,1.88,PT
91,Reconquista,-29.15,-59.65,67.95,broken clouds,40,69,11.63,AR
92,Port Hedland,-20.3167,118.5667,82.45,clear sky,44,0,24.16,AU
93,Castro,-24.7911,-50.0119,53.42,clear sky,75,5,2.64,BR
94,Mayo,38.8876,-76.5119,52.95,clear sky,82,0,0.0,US
95,Olafsvik,64.8945,-23.7142,41.65,broken clouds,84,82,17.85,IS
96,Ambilobe,-13.2,49.05,83.34,overcast clouds,44,99,3.83,MG
97,Yongan,39.6957,113.6871,56.73,few clouds,56,14,3.04,CN
98,Tyrma,50.0833,132.1667,27.91,clear sky,46,1,10.09,RU
99,Cherskiy,68.75,161.3,-2.7,overcast clouds,97,100,8.43,RU
100,Nathdwara,24.9333,73.8167,77.99,clear sky,30,0,1.83,IN
101,Saint George,37.1041,-113.5841,45.19,clear sky,70,0,1.01,US
102,Fairbanks,64.8378,-147.7164,17.94,broken clouds,88,75,0.0,US
103,Mar Del Plata,-38.0023,-57.5575,62.1,clear sky,90,0,11.99,AR
104,Diamantina,-18.2494,-43.6003,60.04,moderate rain,83,45,2.73,BR
105,Tuktoyaktuk,69.4541,-133.0374,17.6,broken clouds,93,75,14.97,CA
106,Carnarvon,-24.8667,113.6333,71.15,broken clouds,53,79,15.43,AU
107,San Quintin,30.4833,-115.95,60.17,clear sky,62,0,13.51,MX
108,Lac-Megantic,45.5834,-70.8823,38.01,broken clouds,50,80,5.3,CA
109,Teknaf,20.8624,92.3058,83.61,scattered clouds,48,31,2.98,BD
110,Cape Town,-33.9258,18.4232,62.91,clear sky,68,0,7.0,ZA
111,Komsomolskiy,40.4272,71.7189,39.92,clear sky,70,4,4.61,UZ
112,Muros,42.7762,-9.0603,58.14,overcast clouds,95,89,6.91,ES
113,Dingle,10.9995,122.6711,85.53,broken clouds,72,59,13.47,PH
114,Tasiilaq,65.6145,-37.6368,32.16,overcast clouds,71,100,9.51,GL
115,Alenquer,-1.9417,-54.7383,77.09,moderate rain,82,88,4.27,BR
116,Sarmanovo,55.2553,52.5891,39.88,overcast clouds,96,100,13.65,RU
117,Ancud,-41.8697,-73.8203,51.69,overcast clouds,96,98,5.59,CL
118,Isangel,-19.55,169.2667,84.31,haze,79,75,4.61,VU
119,Longyearbyen,78.2186,15.6401,22.84,scattered clouds,68,40,9.22,SJ
120,Fortuna,40.5982,-124.1573,42.35,overcast clouds,97,100,4.61,US
121,Zanjan,36.6736,48.4787,42.49,broken clouds,49,75,6.91,IR
122,Asau,46.4333,26.4,40.28,broken clouds,83,57,4.59,RO
123,Namibe,-15.1961,12.1522,64.29,few clouds,84,23,7.76,AO
124,Luderitz,-26.6481,15.1594,58.96,clear sky,73,3,11.41,NA
125,Kodiak,57.79,-152.4072,38.71,light rain,81,100,14.97,US
126,Angoram,-4.0625,144.0661,80.94,overcast clouds,91,85,3.94,PG
127,Pedernales,18.0384,-71.744,76.86,clear sky,75,6,4.16,DO
128,Biak,-0.9131,122.8766,84.25,overcast clouds,66,97,3.44,ID
129,Praia Da Vitoria,38.7333,-27.0667,70.05,broken clouds,88,75,31.12,PT
130,Kulhudhuffushi,6.6221,73.07,80.49,overcast clouds,75,100,4.52,MV
131,Constitucion,-35.3333,-72.4167,54.07,broken clouds,92,56,11.45,CL
132,Ust-Barguzin,53.45,108.9833,26.96,broken clouds,68,83,1.16,RU
133,Soe,-9.8607,124.284,82.13,overcast clouds,56,92,5.5,ID
134,Vizinga,61.0749,50.1031,35.04,light snow,99,100,5.28,RU
135,Bambous Virieux,-20.3428,57.7575,79.21,few clouds,65,20,6.91,MU
136,Bermeo,43.4209,-2.7215,51.4,clear sky,75,1,6.26,ES
137,Lebu,-37.6167,-73.65,54.05,broken clouds,83,69,16.75,CL
138,Kawai,34.2333,135.85,63.82,scattered clouds,51,38,6.11,JP
139,Katsuura,35.1333,140.3,69.37,few clouds,55,18,17.69,JP
140,Yulara,-25.2406,130.9889,94.44,scattered clouds,16,35,7.74,AU
141,Gornopravdinsk,60.05,69.9,31.78,overcast clouds,97,100,2.26,RU
142,Cururupu,-1.8283,-44.8683,72.88,clear sky,94,7,3.02,BR
143,Aquiraz,-3.9014,-38.3911,80.69,overcast clouds,76,100,10.04,BR
144,Ahtopol,42.1,27.95,49.75,few clouds,86,13,2.51,BG
145,Hovd,48.0056,91.6419,28.35,few clouds,27,18,4.79,MN
146,Moyale,3.5167,39.0584,72.3,overcast clouds,67,86,8.05,KE
147,Bathsheba,13.2167,-59.5167,77.61,broken clouds,94,75,13.8,BB
148,Narsaq,60.9167,-46.05,32.22,overcast clouds,88,100,2.21,GL
149,Mercedes,-34.6515,-59.4307,63.86,clear sky,63,5,8.48,AR
150,Andenes,69.3143,16.1194,35.58,clear sky,64,0,11.5,NO
151,Domnesti,45.2,24.8333,43.68,scattered clouds,89,45,3.51,RO
152,Groningen,53.25,6.75,50.04,overcast clouds,92,89,9.22,NL
153,San Pedro,14.35,121.0167,92.35,broken clouds,67,58,10.16,PH
154,Hermanus,-34.4187,19.2345,61.81,clear sky,67,1,14.63,ZA
155,Zyryanka,65.75,150.85,-0.56,light snow,98,100,5.79,RU
156,Severo-Kurilsk,50.6789,156.125,39.09,moderate rain,95,100,24.52,RU
157,Varkkallai,8.7341,76.7067,85.78,broken clouds,65,84,1.63,IN
158,Comodoro Rivadavia,-45.8667,-67.5,60.66,clear sky,39,0,6.91,AR
159,Srednekolymsk,67.45,153.6833,-2.61,light snow,98,100,3.47,RU
160,Nampula,-15.1165,39.2666,73.35,few clouds,78,20,10.36,MZ
161,Kaitangata,-46.2817,169.8464,56.12,clear sky,64,0,11.45,NZ
162,Saint-Michel-Des-Saints,46.6834,-73.9159,39.94,overcast clouds,56,100,8.25,CA
163,Englehart,47.8169,-79.8664,43.36,heavy intensity rain,100,100,6.91,CA
164,Atuona,-9.8,-139.0333,77.67,broken clouds,73,78,17.11,PF
165,Klyuchevskiy,53.5317,119.4519,23.61,clear sky,53,4,3.31,RU
166,Elliot Lake,46.3834,-82.6331,48.13,overcast clouds,85,100,6.82,CA
167,Ilulissat,69.2167,-51.1,10.42,broken clouds,56,75,5.75,GL
168,Cidreira,-30.1811,-50.2056,62.37,clear sky,87,1,2.1,BR
169,Nicoya,10.1483,-85.452,72.43,overcast clouds,95,91,1.7,CR
170,Rorvik,64.8621,11.2373,39.31,light intensity drizzle rain,93,100,9.22,NO
171,Vilhena,-12.7406,-60.1458,71.35,few clouds,48,13,2.73,BR
172,Joshimath,30.5667,79.5667,55.65,broken clouds,63,81,6.22,IN
173,Caravelas,-17.7125,-39.2481,72.41,overcast clouds,95,100,2.24,BR
174,Leshukonskoye,64.8989,45.7622,32.18,light snow,98,100,4.34,RU
175,Harrogate,53.9908,-1.5373,54.3,overcast clouds,91,100,8.99,GB
176,Vostok,46.4856,135.8833,29.59,clear sky,39,0,13.42,RU
177,Mount Isa,-20.7333,139.5,82.17,scattered clouds,57,40,11.5,AU
178,Mandali,33.7499,45.5541,70.48,broken clouds,36,64,6.53,IQ
179,Ryotsu,38.0833,138.4333,62.55,overcast clouds,66,86,9.17,JP
180,Adrar,20.5022,-10.0711,69.28,clear sky,15,1,8.37,MR
181,Nantucket,41.2835,-70.0995,50.0,clear sky,76,0,8.05,US
182,Mahebourg,-20.4081,57.7,79.25,few clouds,65,20,6.91,MU
183,Tilichiki,60.4667,166.1,4.78,few clouds,93,17,5.84,RU
184,Rabaul,-4.1967,152.1721,83.07,moderate rain,76,99,8.23,PG
185,Kyzyl-Suu,42.3414,78.0056,31.41,few clouds,51,21,1.68,KG
186,La Ronge,55.1001,-105.2842,-5.55,few clouds,77,20,2.3,CA
187,Mahon,39.8885,4.2658,64.96,broken clouds,82,75,14.97,ES
188,Bonavista,48.6499,-53.1147,33.53,overcast clouds,64,98,21.14,CA
189,Puerto Madero,14.7208,-92.4215,77.56,light rain,82,2,3.69,MX
190,Nadym,65.5333,72.5167,0.18,clear sky,88,8,6.91,RU
191,Tuatapere,-46.1333,167.6833,64.51,clear sky,48,0,7.45,NZ
192,Upernavik,72.7868,-56.1549,5.47,overcast clouds,73,94,5.01,GL
193,Port Shepstone,-30.7414,30.455,67.28,overcast clouds,63,100,10.94,ZA
194,Katherine,-14.4667,132.2667,98.92,overcast clouds,30,93,6.91,AU
195,Saint Anthony,45.0205,-93.218,63.25,overcast clouds,95,100,1.01,US
196,Sola,-13.8833,167.55,81.59,scattered clouds,75,43,7.96,VU
197,Bonfim,3.0833,-59.95,75.22,heavy intensity rain,88,100,0.56,BR
198,Aginskoye,51.1,114.53,28.78,light snow,84,100,2.1,RU
199,Waitati,-45.75,170.5667,56.8,clear sky,56,7,11.34,NZ
200,Scottsbluff,41.8666,-103.6672,26.83,broken clouds,83,75,12.66,US
201,Yellowknife,62.456,-114.3525,9.12,light shower snow,85,100,13.8,CA
202,Tifton,31.4505,-83.5085,64.36,overcast clouds,64,100,18.92,US
203,Ferrol,43.4832,-8.2369,59.72,overcast clouds,88,95,6.93,ES
204,Alushta,44.6667,34.4167,49.51,clear sky,69,6,1.59,UA
205,Itarema,-2.9248,-39.9167,77.74,overcast clouds,79,99,10.85,BR
206,Ribeira Grande,38.5167,-28.7,70.2,broken clouds,88,75,29.93,PT
207,Port Moresby,-9.4431,147.1797,89.02,haze,55,40,23.02,PG
208,Kruisfontein,-34.0033,24.7314,55.89,overcast clouds,70,90,9.84,ZA
209,Guiyang,26.5833,106.7167,72.09,scattered clouds,56,40,15.66,CN
210,San Borja,-14.8167,-66.85,79.09,overcast clouds,54,99,1.03,BO
211,Sibolga,1.7427,98.7792,84.85,overcast clouds,71,100,5.01,ID
212,Saldanha,-33.0117,17.9442,58.01,clear sky,70,0,6.11,ZA
213,Lazaro Cardenas,17.9583,-102.2,76.96,few clouds,87,13,1.54,MX
214,Leningradskiy,69.3833,178.4167,0.21,overcast clouds,85,100,3.89,RU
215,Beoumi,7.6736,-5.5764,69.76,clear sky,84,2,5.14,CI
216,Victoria,22.2855,114.1577,82.04,clear sky,74,9,5.01,HK
217,Bull Savanna,17.8868,-77.5902,73.11,clear sky,76,0,0.96,JM
218,Songjianghe,42.1859,127.479,48.92,overcast clouds,66,94,2.13,CN
219,San Patricio,28.017,-97.5169,77.9,few clouds,81,13,7.0,US
220,Byadgi,14.6833,75.4833,78.48,clear sky,55,10,12.93,IN
221,Abha,18.2164,42.5053,60.62,clear sky,39,0,4.61,SA
222,Paraiso,9.8383,-83.8656,63.46,overcast clouds,99,100,1.03,CR
223,Port-Gentil,-0.7193,8.7815,75.25,heavy intensity rain,94,100,10.87,GA
